Animal_ID,pegi_pos,female,age_screened
Cj1345,0,0,8
Cj1683,0,0,4
Cj1703,0,1,4
Cj1147,0,0,10
Cj1213,0,0,10
Cj1282,0,1,8
Cj1343,0,0,8
Cj1378,0,0,8
Cj1431,0,0,8
Cj1445,0,0,7
Cj1570,0,1,6
Cj1580,0,1,6
Cj1598,0,0,5
Cj1623,0,0,5
Cj1624,0,0,5
Cj1628,0,0,5
Cj1630,0,1,5
Cj1632,0,1,5
Cj1645,0,0,5
Cj1649,0,0,5
Cj1661,0,0,5
Cj1685,0,0,4
Cj1718,0,0,4
Cj1735,0,0,4
Cj1750,0,1,4
Cj1764,0,1,3
Cj1765,0,1,3
Cj1792,0,0,3
Cj1802,0,1,3
Cj1809,0,0,3
Cj1811,0,0,2
Cj1815,0,0,2
Cj1820,0,0,2
Cj1837,0,0,2
Cj1839,0,0,2
Cj1840,0,1,2
Cj1845,0,0,2
Cj1854,0,0,2
Cj1858,0,1,1
Cj1863,0,1,1
Cj1866,0,1,1
Cj1871,0,0,1
Cj1884,0,1,1
Cj1889,0,0,1
Cj1890,0,1,1
Cj1896,0,1,1
Cj1252,0,1,9
Cj1439,0,0,8
Cj1663,0,1,5
Cj1088,0,1,11
Cj1199,0,0,10
Cj1784,0,1,3
Cj1160,0,1,10
Cj1333,0,0,8
Cj1379,0,0,8
Cj1442,0,0,7
Cj1474,0,1,7
Cj1483,0,0,7
Cj1490,0,0,7
Cj1560,0,0,6
Cj1584,0,0,6
Cj1615,0,0,5
Cj1620,0,1,5
Cj1672,0,1,4
Cj1700,0,1,4
Cj1733,0,0,4
Cj1749,0,0,4
Cj1761,0,0,3
Cj1780,0,1,3
Cj1794,0,1,3
Cj1805,0,1,3
Cj1824,0,1,2
Cj1825,0,0,2
Cj1828,0,0,2
Cj1830,0,1,2
Cj1832,0,1,2
Cj1841,0,0,2
Cj1860,0,1,1
Cj1861,0,0,1
Cj1867,0,1,1
Cj1882,0,1,1
Cj1888,0,1,1
Cj1895,0,0,1
Cj1326,0,1,8
Cj1408,0,1,8
Cj1855,0,0,2
Cj1776,1,1,3
Cj1799,1,0,3
Cj1823,1,1,2
Cj1451,1,0,7
Cj1597,1,0,5
Cj1460,1,0,7
Cj1865,1,0,1
Cj1681,1,0,4
Cj1163,1,0,10
Cj1510,1,0,7
Cj1239,1,0,9
Cj1546,1,0,6
Cj1621,1,0,5
Cj1547,1,0,6
Cj1477,1,0,7
Cj1647,1,0,5
Cj1676,1,1,4
Cj1363,1,0,8
Cj1868,1,1,1
Cj1464,1,0,7
Cj1450,1,0,7
Cj0856,1,1,13
Cj1443,1,0,7
Cj1713,1,0,4
Cj1603,1,0,5
Cj1218,1,1,9
Cj1636,1,1,5
Cj1646,1,0,5
Cj1165,1,0,10
Cj1796,1,1,3
Cj1789,1,1,3
Cj1654,1,0,5
Cj1788,1,1,3
Cj1876,1,1,1
Cj1842,1,0,2
Cj1470,1,0,7
Cj1875,1,0,1
Cj1489,1,0,7
Cj1848,1,1,2
Cj1437,1,1,8
Cj1228,1,1,9
Cj0988,1,1,11
Cj1626,1,1,5
Cj1798,1,1,3
Cj1186,1,1,9
Cj1847,1,0,2
Cj1410,1,1,8
Cj1857,1,0,1
Cj1843,1,0,2
Cj1880,1,0,1
Cj1609,0,0,5
Cj1690,0,0,4
Cj1846,0,0,2
Cj1583,0,0,6
Cj1833,0,0,2
Cj1616,0,0,5
Cj1786,0,1,3
Cj1806,0,0,3
Cj1816,0,1,2
Cj1838,0,1,2