Variant,Accession number
Dolphin pegivirus,MK059751
Porcine pegivirus,KU351669
Rodent pegivirus,KC815311
Bat pegivirus I,KC796088
Human hepegivirus,KT439329
Bat pegivirus G,KC796076
Bat pegivirus F,KC796080
Equine pegivirus,KC410872
Theiler's disease-associated virus,KC145265
Human pegivirus genotype 2,U44402
GB virus-D,GU566734
Simian pegivirus A S. nigricollis,U22303
Simian pegivirus A A. trivirgatus,AF023425
Simian pegivirus A S. mytax,AF023424
Simian pegivirus A S. labiatus,NC_001837
Bat pegivirus PDB737B,KC796075
Bat pegivirus PDB106,KC796075
Bat pegivirus PDB24,KC796082
Human pegivirus genotype 1,U63715
Human pegivirus genotype 3,D87713
Human pegivirus genotype 4,AB021287
Human pegivirus genotype 5,AY949771
Human pegivirus genotype 6,AB003292
Simian pegivirus A P. troglodytes,AF070476
SOBV-1,MT513216
SOBV-2,MT513217